launch_date,brand,model,height_mm,brand_color
2013-11-01,Lenovo,Vibe Z K910,149.1,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-10-01,Lenovo,Yoga Tablet 10,261,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-10-01,Lenovo,Yoga Tablet 8,213,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-09-01,Lenovo,A630,131,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-07-01,Lenovo,A516,132,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-09-01,Lenovo,Vibe X S960,144,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-09-01,Lenovo,S5000,190.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-08-01,Lenovo,A850,153.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,A706,136,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-06-01,Lenovo,P780,143,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-05-01,Lenovo,S820,139.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-04-01,Lenovo,A390,125.6,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-07-01,Lenovo,A369i,124,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-03-01,Lenovo,S920,154,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,IdeaTab S6000H,260,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,IdeaTab S6000F,260,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,IdeaTab S6000L,260,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,IdeaTab S6000,259.1,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,IdeaTab A3000,194,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,IdeaTab A1000,199,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,K900,157,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,S890,143,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,IdeaTab A2107,195.1,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,A830,147,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,A820,135,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,A800,133.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-06-01,Lenovo,A789,126.6,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,A690,124,"rgba( 0 ,  61 ,  123 , 0.2)"
2013-01-01,Lenovo,S720,132.3,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-11-01,Lenovo,P770,133,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-01-01,Lenovo,A60+,115.8,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-01-01,Lenovo,S560,125,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-08-01,Lenovo,S880,142,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-09-01,Lenovo,A660,125,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-08-01,Lenovo,K860,143.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-01-01,Lenovo,P700i,125.6,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-07-01,Lenovo,A65,116,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-01-01,Lenovo,A335,118.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-12-01,Lenovo,A185,118,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-10-01,Lenovo,S800,120.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-10-01,Lenovo,Q350,110,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-10-01,Lenovo,Q330,103,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-10-01,Lenovo,A336,113.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-10-01,Lenovo,E156,101,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-01-01,Lenovo,LePhone S2,122,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-01-01,Lenovo,A60,116,"rgba( 0 ,  61 ,  123 , 0.2)"
2012-01-01,Lenovo,K800,130.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-11-01,Lenovo,LePad S2010,265.9,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-11-01,Lenovo,LePad S2007,200.2,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-11-01,Lenovo,LePad S2005,155.5,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-11-01,Lenovo,IdeaPad A1,195,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-06-01,Lenovo,IdeaPad K1,264,"rgba( 0 ,  61 ,  123 , 0.2)"
2011-06-01,Lenovo,ThinkPad,260,"rgba( 0 ,  61 ,  123 , 0.2)"
2016-02-01,Lenovo,Vibe K5 Plus,142,"rgba( 0 ,  61 ,  123 , 0.2)"
